teamID,teamname,Avg_Home_Attendance,Total_Home_Attendance,Avg_Away_Attendance,Total_Away_Attendance
1,Manchester United,"74,976","1,424,538","37,462","711,771"
2,Tottenham Hotspur,"67,496","1,282,417","36,886","700,828"
3,Arsenal,"59,323","1,127,133","38,381","729,232"
4,West Ham United,"56,885","1,080,808","36,498","693,470"
5,Manchester City,"53,812","1,022,434","38,308","727,852"
6,Liverpool,"53,049","1,007,931","38,490","731,311"
7,Newcastle United,"51,992","987,844","37,135","705,566"
8,Chelsea,"41,282","784,353","38,607","733,526"
9,Everton,"38,797","737,143","38,566","732,751"
10,Leicester City,"31,583","600,084","39,117","743,229"
11,Southampton,"30,794","585,084","38,037","722,704"
12,Brighton & Hove Albion,"30,403","577,648","37,479","712,109"
13,Stoke City,"29,280","556,317","38,226","726,287"
14,Crystal Palace,"25,063","476,189","38,548","732,403"
15,West Bromwich Albion,"24,520","465,878","38,658","734,498"
16,Huddersfield Town,"24,026","456,500","39,088","742,669"
17,Burnley,"20,688","393,080","38,967","740,365"
18,Swansea City,"20,622","391,827","38,732","735,913"
19,Watford,"20,231","384,388","38,205","725,901"
20,AFC Bournemouth,"10,641","202,174","40,073","761,385"
21,Borussia Dortmund,"79,496","1,351,439","45,920","780,645"
22,Bayern Munich,"75,000","1,275,000","46,996","798,924"
23,FC Schalke 04,"61,297","1,042,041","45,674","776,455"
24,VfB Stuttgart,"56,045","952,771","44,399","754,787"
25,Hamburger SV,"51,248","871,209","46,114","783,938"
26,Borussia M'gladbach,"50,986","866,755","45,224","768,814"
27,Eintracht Frankfurt,"49,100","834,700","44,092","749,556"
28,1. FC Koln,"48,776","829,200","45,139","767,370"
29,Hertha BSC,"45,672","776,422","44,952","764,186"
30,Hannover 96,"42,706","726,000","43,525","739,924"
31,Werder Bremen,"40,805","693,692","46,765","795,001"
32,RB Leipzig,"39,397","669,741","45,546","774,274"
33,1. FSV Mainz 05,"28,766","489,027","43,065","732,097"
34,TSG 1899 Hoffenheim,"28,716","488,180","43,891","746,147"
35,Bayer Leverkusen,"28,414","483,032","43,523","739,891"
36,FC Augsburg,"28,238","480,049","41,716","709,166"
37,VfL Wolfsburg,"25,712","437,104","42,684","725,634"
38,SC Freiburg,"23,894","406,200","45,044","765,753"
39,Barcelona,"67,142","1,275,694","30,505","579,603"
40,Real Madrid,"66,863","1,270,406","31,594","600,284"
41,Atletico Madrid,"55,571","1,055,852","29,647","563,290"
42,Real Betis,"46,781","888,846","25,673","487,784"
43,Valencia,"38,607","733,540","27,593","524,273"
44,Athletic Bilbao,"37,246","707,677","27,975","531,519"
45,Sevilla,"32,999","626,978","29,111","553,114"
46,Deportivo La Coruna,"20,542","390,299","26,127","496,413"
47,Malaga,"20,359","386,821","28,565","542,728"
48,Real Sociedad,"19,793","376,064","28,125","534,369"
49,CD Alaves,"18,845","358,057","26,068","495,296"
50,Levante,"18,545","352,358","26,169","497,218"
51,Espanyol,"17,863","339,396","25,795","490,098"
52,Villarreal,"16,779","318,809","27,312","518,920"
