teamID,team_name,standing,games_played,wins,draws,losses,goals_scored,goals_conceded,goal_differential,points,League,Season
1,Manchester City,1,38,32,4,2,106,27,79,100,Premier League,2017/18
2,Manchester United,2,38,25,6,7,68,28,40,81,Premier League,2017/18
3,Tottenham Hotspur,3,38,23,8,7,74,36,38,77,Premier League,2017/18
4,Liverpool,4,38,21,12,5,84,38,46,75,Premier League,2017/18
5,Chelsea,5,38,21,7,10,62,38,24,70,Premier League,2017/18
6,Arsenal,6,38,19,6,13,74,51,23,63,Premier League,2017/18
7,Burnley,7,38,14,12,12,36,39,-3,54,Premier League,2017/18
8,Everton,8,38,13,10,15,44,58,-14,49,Premier League,2017/18
9,Leicester City,9,38,12,11,15,56,60,-4,47,Premier League,2017/18
10,Newcastle United,10,38,12,8,18,39,47,-8,44,Premier League,2017/18
11,Crystal Palace,11,38,11,11,16,45,55,-10,44,Premier League,2017/18
12,AFC Bournemouth,12,38,11,11,16,45,61,-16,44,Premier League,2017/18
13,West Ham United,13,38,10,12,16,48,68,-20,42,Premier League,2017/18
14,Watford,14,38,11,8,19,44,64,-20,41,Premier League,2017/18
15,Brighton & Hove Albion,15,38,9,13,16,34,54,-20,40,Premier League,2017/18
16,Huddersfield Town,16,38,9,10,19,28,58,-30,37,Premier League,2017/18
17,Southampton,17,38,7,15,16,37,56,-19,36,Premier League,2017/18
18,Swansea City,18,38,8,9,21,28,56,-28,33,Premier League,2017/18
19,Stoke City,19,38,7,12,19,35,68,-33,33,Premier League,2017/18
20,West Bromwich Albion,20,38,6,13,19,31,56,-25,31,Premier League,2017/18
21,Bayern Munich,1,34,27,3,4,92,28,64,84,Bundesliga,2017/18
22,FC Schalke 04,2,34,18,9,7,53,37,16,63,Bundesliga,2017/18
23,TSG 1899 Hoffenheim,3,34,15,10,9,66,48,18,55,Bundesliga,2017/18
24,Borussia Dortmund,4,34,15,10,9,64,47,17,55,Bundesliga,2017/18
25,Bayer Leverkusen,5,34,15,10,9,58,44,14,55,Bundesliga,2017/18
26,RB Leipzig,6,34,15,8,11,57,53,4,53,Bundesliga,2017/18
27,VfB Stuttgart,7,34,15,6,13,36,36,0,51,Bundesliga,2017/18
28,Eintracht Frankfurt,8,34,14,7,13,45,45,0,49,Bundesliga,2017/18
29,Borussia M'gladbach,9,34,13,8,13,47,52,-5,47,Bundesliga,2017/18
30,Hertha BSC,10,34,10,13,11,43,46,-3,43,Bundesliga,2017/18
31,Werder Bremen,11,34,10,12,12,37,40,-3,42,Bundesliga,2017/18
32,FC Augsburg,12,34,10,11,13,43,46,-3,41,Bundesliga,2017/18
33,Hannover 96,13,34,10,9,15,44,54,-10,39,Bundesliga,2017/18
